"saat","sure"
"132609",	15
"132731",	53
"132731",	67
"132828",	33
"132856",	41
"132911",	46
"132707",	173
"132915",	50
"133012",	3
"133005",	61
"133040",	37
"133148",	85
"133216",	72
"133307",	25
"133338",	9
"133349",	11
"133410",	18
"133421",	19
"133418",	51
"133431",	65
"133450",	39
"133528",	6
"133545",	5
"133608",	25
"133621",	29
"133620",	56
"133721",	40
"133732",	45
"133834",	7
"133805",	60
"133913",	94
"133944",	55
"133949",	55
"134021",	36
"134022",	66
"134047",	62
"134122",	37
"134034",	87
"134130",	93
"134226",	46
"134231",	31
"134337",	6
"134345",	42
"134411",	40
"134412",	41
"134436",	12
"134505",	35
"134510",	34
"134515",	32
"134516",	48
"134529",	64
"134553",	40
"134600",	29
"134624",	28
"134543",	125
"134658",	22
"134726",	22
"134735",	18
"134858",	19
"134946",	23
"134947",	38
"135014",	24
"135021",	18
"134945",	116
"135108",	46
"135204",	34
"135249",	29
"135252",	31
"135253",	34
"135301",	5
"135302",	64
"135348",	68
"135434",	25
"135414",	80
"135423",	43
"135450",	36
"135615",	87
"135632",	33
"135701",	23
"135736",	23
"135759",	31
"135830",	9
"135854",	5
"135852",	38
"135901",	6
"135913",	11
"135941",	26
"140002",	50
"140016",	11
"140110",	41
"140140",	6
"140109",	81
"140253",	7
"140303",	37
"140339",	39
"140416",	41
"140200",	210
"140402",	92
"140712",	33
"140708",	97
"140822",	30
"140604",	230
"140907",	43
"140843",	111
"140850",	78
"140903",	117
"141027",	37
"141044",	36
"141125",	24
"141153",	26
"141220",	4
"141238",	13
"141031",	152
"141259",	47
"141331",	93
"141503",	122
"141651",	31
"141708",	32
"141318",	320
"141716",	46
"141725",	36
"141830",	6
"141900",	23
"141905",	29
"141938",	20
"141914",	67
"141920",	52
"142005",	57
"142100",	25
"142030",	109
"142219",	45
"142405",	17
"142420",	29
"142311",	109
"142348",	103
"142440",	23
"142632",	14
"142659",	55
"142702",	56
"142826",	54
"142831",	30
"142901",	19
"142945",	18
"142953",	26
"143007",	44
"143134",	37
"143144",	74
"143244",	7
"143245",	9
"143111",	128
"143155",	95
"143226",	66
"143254",	11
"143453",	5
"143301",	170
"143434",	52
"143642",	14
"143623",	55
"143632",	38
"143639",	62
"143642",	27
"143734",	10
"143616",	138
"143745",	18
"143745",	28
"143831",	26
"143835",	33
"143915",	25
"143942",	11
"143856",	114
"143859",	102
"143939",	31
"143947",	57
"143949",	14
"144046",	38
"144138",	7
"144046",	88
"144219",	87
"144411",	22
"144426",	32
"144453",	15
"144541",	45
"144738",	64
"144741",	26
"144755",	30
"144740",	94
"144850",	66
"144916",	51
"144942",	50
"145021",	30
"145101",	37
"145102",	27
"145105",	16
"145207",	31
"145225",	45
"145242",	76
"145251",	23
"145250",	117
"145444",	20
"145516",	21
"145401",	122
"145632",	12
"145614",	103
"145721",	58
"145740",	35
"145541",	204
"145655",	128
"145754",	97
"145858",	30
"145907",	33
"145932",	13
"145957",	42
"150004",	4
"150018",	16
"150019",	8
"150019",	22
"145935",	109
"150105",	39
"150222",	5
"150223",	36
"150051",	135
"150235",	28
"150240",	122
"150327",	47
"150342",	50
"150407",	11
"150438",	4
"150447",	4
"150441",	45
"150453",	8
"150528",	29
"150529",	20
"150218",	235
"150552",	25
"150628",	24
"150732",	8
"150743",	24
"150810",	18
"150906",	36
"150924",	18
"151018",	42
"151111",	101
"151222",	39
"151303",	45
"151327",	73
"151415",	33
"151415",	41
"151425",	90
"151433",	31
"151526",	14
"151600",	10
"151618",	12
"151706",	24
"151646",	75
"151908",	42
"151835",	114
"152050",	58
"152058",	25
"152131",	41
"152205",	24
"152227",	18
"152222",	58
"152222",	96
"152301",	17
"152321",	16
"152507",	28
"152529",	22
"152407",	163
"152542",	28
"152623",	14
"152627",	30
"152715",	65
"152721",	68
"152816",	35
"152817",	42
"152750",	106
"152856",	9
"152907",	31
"152951",	38
"153002",	11
"153048",	98
"153108",	91
"153122",	61
"153145",	74
"153217",	80
"153239",	67
"153257",	34
"153324",	25
"153325",	24
"153327",	5
"153351",	14
"153402",	5
"153322",	143
"153420",	46
"153429",	36
"153445",	18
"153550",	9
"153521",	40
"153530",	41
"153821",	23
"153853",	31
"153920",	38
"153926",	11
"153932",	40
"153934",	58
"154028",	9
"154036",	32
"154109",	55
"154143",	32
"154230",	27
"154252",	55
"154301",	17
"154347",	15
"154412",	27
"154302",	168
"154359",	75
"154435",	29
"154558",	30
"154615",	5
"154659",	39
"154727",	13
"154641",	83
"154725",	45
"154802",	25
"154916",	18
"154942",	18
"154945",	38
"155152",	6
"155241",	51
"155300",	35
"155320",	27
"155358",	34
"155410",	47
"155419",	34
"155416",	90
"155433",	44
"155358",	154
"155610",	43
"155628",	31
"155546",	75
"155623",	94
"155712",	10
"155715",	12
"155727",	61
"155743",	30
"155808",	27
"155840",	37
"155952",	57
"155832",	148
"160035",	51
